Most Frequent Filenames (Port 23):
rank,filename,count,distinct_ips
1,i,10392990,1157
2,cutie.x86,6561448,2
3,jklx86,1013718,3
4,x86,538063,45
5,shellx86,364063,1
6,sora.sh,326499,34
7,bin.sh,219471,335
8,ohshit.sh,177943,22
9,0xh0roxxnavebusyoo.x86,174762,7
10,sora2.sh,109559,34
11,sora1.sh,108449,34
12,s,83862,2
13,ohshit2.sh,58683,21
14,ohshit1.sh,58683,21
15,tftp.sh,43897,14501
16,curl.sh,43425,14495
17,ftpget.sh,43423,14494
18,skid.x86,43021,4
19,tftp1.sh,41442,48
20,sora.x86,38832,78
21,yuerobber.sh,36540,1
22,z0r0.x86,19949,10
23,private.sh,18189,4
24,nekoB.sh,17547,2
25,tftp2.sh,16172,39
26,b3astmode.x86,15208,4
27,CPU.sh,13141,1
28,yuerobber2.sh,12180,1
29,yuerobber1.sh,12180,1
30,hi.sh,9942,8
31,Pemex.sh,8988,1
32,ftp1.sh,8698,27
33,bestone.sh,7611,1
34,whattttttlol.sh,7080,1
35,bins.sh,6921,28
36,cundi.x86,6323,5
37,nekoB2.sh,5849,2
38,:888,5216,1
39,sex.sh,5140,11
40,atlas.x86,5085,1
41,ChinaPower.sh,4923,1
42,yuexd.sh,4104,4
43,sdxkzX_UXA229x.x86,3995,1
44,fuckme.sh,3829,1
45,kino.sh,3722,3
46,toten.sh,3722,3
47,zeros6x.sh,3612,7
48,87sbhas6as.sh,3574,4
49,arm,3524,2
50,SnOoPy.sh,3345,3
51,yue.sh,3240,1
52,./bin/hi.sh,3162,7
53,nekoB1.sh,3160,2
54,botx.x86,3111,10
55,Pemex2.sh,2996,1
56,Pemex1.sh,2996,1
57,daddy.x86,2763,2
58,wget,2595,5
59,bestone2.sh,2537,1
60,chink.sh,2406,1
61,whattttttlol2.sh,2360,1
62,whattttttlol1.sh,2360,1
63,private2.sh,2341,2
64,private1.sh,2341,2
65,fuckjewishpeople.sh,2164,5
66,KKveTTgaAAsecNNaaaa.x86,2142,10
67,snype.sh,2029,3
68,boatnet.x86,2021,16
69,arm7,1990,2
70,sh.sh,1894,1
71,phantom.sh,1884,2
72,Pers.sh,1872,1
73,Hilix.x86,1859,5
74,ChinaPower2.sh,1641,1
75,ChinaPower1.sh,1641,1
76,update.sh,1596,8
77,ssh-updater.sh,1503,1
78,arm5,1428,2
79,lmfao293reuj239jrf234rft34jt.x86,1402,2
80,Sakura.sh,1354,5
81,w.sh,1351,7
82,diavolobins.sh,1337,1
83,diavolotftp1.sh,1337,1
84,diavolotftp2.sh,1337,1
85,87sbhas6as2.sh,1329,4
86,loligang.x86,1328,4
87,RpcSecurity.x86,1300,2
88,zeros6x2.sh,1203,6
89,zeros6x1.sh,1203,6
90,botx.sh,1158,1
91,ohsitsvegawellrip.sh,1131,2
92,spc,1130,1
93,sora.sod,1110,1
94,yue2.sh,1080,1
95,yue1.sh,1080,1
96,reaper.x86,1073,3
97,yuehuey01x03xpn.sh,1032,1
98,dark.x86,1018,1
99,mirai.x86,1000,4
100,x86_64,967,5
101,db0fa4b8db0333367e9bda3ab68b8042.x86,936,5
102,payload.sh,927,7
103,curl,920,3
104,87sbhas6as1.sh,916,4
105,telnet,901,2
106,ISIS.sh,876,5
107,vcimanagement.x86,864,1
108,guccix86,847,1
109,ur0a.sh,826,1
110,shithirointhehouse.sh,821,5
111,chink2.sh,802,1
112,chink1.sh,802,1
113,Mddos.x86,779,3
114,t.sh,753,1
115,main.sh,729,9
116,install.sh,667,1
117,phantom2.sh,628,2
118,phantom1.sh,628,2
119,psec.x86,560,1
120,yourbiggestnightmare.x86,526,4
121,ssh-updater2.sh,501,1
122,ssh-updater1.sh,501,1
123,yuexd2.sh,490,3
124,yuexd1.sh,490,3
125,client,486,2
126,pandora.x86,475,3
127,DEMONS.x86,417,2
128,mips,413,2
129,akido.x86,403,3
130,botx2.sh,386,1
131,botx1.sh,386,1
132,pXdN91.sh,382,1
133,jew.x86,348,3
134,yuehuey01x03xpn2.sh,344,1
135,yuehuey01x03xpn1.sh,344,1
136,w,325,1
137,Pandora.sh,321,1
138,ohsitsvegawellrip2.sh,297,1
139,ohsitsvegawellrip1.sh,297,1
140,eskgbins.sh,286,6
141,eskgtftp1.sh,286,6
142,eskgtftp2.sh,286,6
143,shithirointhehouse2.sh,272,5
144,shithirointhehouse1.sh,272,5
145,Amakano.x86,262,1
146,flow.x86,255,1
147,arm6,252,1
148,Owari.x86,252,1
149,sensi.sh,240,1
150,abc.sh,234,1
151,reap.sh,232,1
152,cayosinbins.sh,213,2
153,cayosintftp1.sh,213,2
154,cayosintftp2.sh,213,2
155,hoho.x86,212,1
156,Rakitin.sh,210,1
157,FBI.sh,210,1
158,lolxdbins.sh,200,1
159,lolxdtftp1.sh,200,1
160,lolxdtftp2.sh,200,1
161,Gbotbins.sh,175,1
162,Gbottftp1.sh,175,1
163,Gbottftp2.sh,175,1
164,Josho.x86,175,1
165,ftp.sh,174,1
166,t,171,1
167,nine.x86,150,1
168,ppc,145,1
169,m68k,144,1
170,snoopy.sh,142,2
171,xd.x86,141,2
172,LoupesINC.x86,133,1
173,yoyobins.sh,132,1
174,yoyotftp1.sh,132,1
175,yoyotftp2.sh,132,1
176,z3hir.x86,131,1
177,samurai_katana.x86,129,2
178,InfectedNight.x86,122,1
179,',121,1
180,test.sh,109,1
181,Pandora2.sh,107,1
182,Pandora1.sh,107,1
183,FBI1.sh,105,1
184,FBI2.sh,105,1
185,jack5tr.sh,102,1
186,Star.x86,91,1
187,Rakitin2.sh,70,1
188,Rakitin1.sh,70,1
189,cutie.0,63,2
190,phantom.x86,63,2
191,nigga.x86,59,1
192,Cronx86,53,1
193,vpn-install,51,1
194,BinName.x86,41,1
195,cutie.,40,1
196,opqMANCUNQnn,37,3
197,jack5tr2.sh,34,1
198,jack5tr1.sh,34,1
199,76d32be0.sh,30,1
200,nine.mips,30,1
201,k3x0.sh,27,2
202,dplbin.sh,24,1
203,dtftp1.sh,24,1
204,dtftp2.sh,24,1
205,nekoisdaddy.sh,24,1
206,dev,22,1
207,a,22,1
208,wget.sh,21,17
209,GoOgle.sh,21,4
210,proc,21,1
211,skid.sh,20,1
212,9,20,1
213,arm4,19,1
214,pts,19,2
215,kdfiu34r.sh,16,1
216,tbree444.sh,16,1
217,tfclean33.sh,16,1
218,feeji77.sh,16,1
219,hypnose.sh,15,1
220,eU,15,8
221,cutie.[32m[guest[0m@[31mdvrdvs[0m,15,1
222,plive.sh,14,1
223,k3x0.x86,14,1
224,cutie.ramfs,13,1
225,cutie.[4h[4l[4l[4hroot@server:~#,13,1
226,ntpd.x86,11,1
227,cutie.rootfs,11,1
228,cutie.sysfs,11,1
229,cutie.[root@gx3201,11,1
230,cutie.#,11,1
231,cutie.tmpfs,11,1
232,vlxx.x86,11,2
233,yCz31g9,10,6
234,plive1.sh,10,1
235,plive2.sh,10,1
236,76d32be02.sh,10,1
237,76d32be01.sh,10,1
238,bestone1.sh,10,1
239,dvr.sh,9,1
240,cutie.rw,relatime,9,2
241,sys,9,1
242,k3x02.sh,9,2
243,k3x01.sh,9,2
244,mpsl,8,1
245,0,8,1
246,paralysis.sh,8,1
247,nekoisdaddy2.sh,8,1
248,nekoisdaddy1.sh,8,1
249,nabx86,7,1
250,tmp,7,1
251,spam.html,7,1
252,plive1337.sh,6,1
253,majx.sh,6,1
254,Beastmode.sh,6,1
255,app,6,1
256,sir.arm,6,1
257,hypnose2.sh,5,1
258,hypnose1.sh,5,1
259,mounts,5,2
260,cutie.00:00:00,5,1
261,cutie.rw,5,1
262,hik,5,1
263,cutie.roc,5,1
264,cutie.~,5,1
265,shm,5,1
266,cutie.hibiki,5,1
267,5r3fqt67ew531has4231.x86,4,1
268,5r3fqt67ew531has4231.arm,4,1
269,5r3fqt67ew531has4231.mpsl,4,1
270,5r3fqt67ew531has4231.mips,4,1
271,D4.sh,4,1
272,x86_32,4,1
273,cutie.[4h[4l[4l[4hguest@server:~$,4,1
274,tparalysis.sh,4,1
275,tparalysis2.sh,4,1
276,paralysis1.sh,4,1
277,8UsA.sh,4,1
278,var,4,1
279,cutie.rm:,4,1
280,cutie.[4h[4l[4l[4h#,4,1
281,cutie.$,4,1
282,cutie.otfs,4,1
283,cutie.proc,4,1
284,rbot.x86,3,1
285,z.sh,3,1
286,busybox,3,2
287,data,3,1
288,cutie.tfs,3,1
289,cutie.t,3,1
290,boot,3,1
291,binfmt_misc,3,1
292,mtd,3,1
293,cutie.root@node:~$,3,1
294,stb,3,1
295,cutie.ext2,3,1
296,cutie.relatime,3,1
297,cutie.erlay,3,1
298,cutie.PEDO:,3,1
299,5r3fqt67ew531has4231.arm6,2,1
300,5r3fqt67ew531has4231.arm7,2,1
301,yandex.x86_32,2,1
302,telnetd,2,1
303,[root@gx3201,2,1
304,[32m[guest[0m@[31mdvrdvs[0m,2,1
305,devices,2,1
306,ramfs,2,1
307,GuruITDDoS3.sh,2,1
308,cutie.1,2,1
309,cutie.cgroup,2,1
310,0xh0roxxnavebusyoo.mips,2,1
311,0xh0roxxnavebusyoo.mpsl,2,1
312,0xh0roxxnavebusyoo.arm,2,1
313,0xh0roxxnavebusyoo.arm5,2,1
314,0xh0roxxnavebusyoo.arm6,2,1
315,0xh0roxxnavebusyoo.arm7,2,1
316,0xh0roxxnavebusyoo.ppc,2,1
317,0xh0roxxnavebusyoo.m68k,2,1
318,0xh0roxxnavebusyoo.sh4,2,1
319,0xh0roxxnavebusyoo.spc,2,1
320,0xh0roxxnavebusyoo.arc,2,1
321,0xh0roxxnavebusyoo.x86_64,2,1
322,0xh0roxxnavebusyoo.i686,2,1
323,0xh0roxxnavebusyoo.i486,2,1
324,t8UsA.sh,2,1
325,t8UsA2.sh,2,1
326,8UsA1.sh,2,1
327,majx2.sh,2,1
328,majx1.sh,2,1
329,web-api.sh,2,1
330,spam_arm64,2,1
331,cutie.ro,2,1
332,cutie.ll:,2,1
333,cutie.LocalHost:],2,1
334,cutie.rw,nosuid,nodev,mode=755,2,1
335,cutie.s,2,1
336,cutie.ybox,2,1
337,cpu,2,1
338,home,2,1
339,web,2,1
340,cutie.[4h[4l[4l[4hadmin@server:~$,2,1
341,cutie.ot,2,1
342,Beastmode2.sh,2,1
343,Beastmode1.sh,2,1
344,cutie.:,2,1
345,cutie.[default@tangox,2,1
346,bvtech,2,1
347,cutie.quantenna,2,1
348,media,2,1
349,cutie.rw,mode=600,2,1
350,cutie.devtmpfs,2,1
351,cutie.httpd,2,1
352,cutie.4lrootfs,2,1
353,cutie.fs,2,1
354,cutie.kill,2,1
355,cutie.vftpd,2,1
356,cutie.root@USR-G809:~$,2,1
357,cutie.gd,2,1
358,sh,2,1
