Most Frequent Ports:
rank,port,count
1,23,12748501
2,5555,124921
3,37215,106572
4,80,15770
5,7547,12306
6,56575,6738
7,8080,6596
8,9001,4529
9,52869,4085
10,9999,3497
11,443,3267
12,5500,3115
13,60001,2557
14,9090,2369
15,5501,2333
16,8081,1674
17,10911,1445
18,9000,1224
19,8443,536
20,49152,512
21,81,444
22,7574,410
23,8088,399
24,8021,347
25,9876,274
26,5505,95
27,9600,55
28,55555,39
29,8083,20
30,9200,14
31,7001,11
32,8022,10
33,8823,8
34,6379,7
35,83,6
36,84,5
37,91,5
38,58382,4
39,85,4
40,60126,3
41,6261,3
42,32636,3
43,88,3
44,54188,2
45,8469,2
46,2549,2
47,9528,2
48,48188,2
49,4978,2
50,19647,2
51,46572,2
52,61341,2
53,2059,2
54,6553,2
55,56480,2
56,54981,2
57,7591,2
58,35938,2
59,5135,2
60,44996,2
61,65145,2
62,29544,2
63,24293,2
64,3267,2
65,12892,2
66,51408,2
67,40663,2
68,37924,2
69,13862,2
70,3495,2
71,64875,2
72,51660,2
73,60817,2
74,2949,2
75,20423,2
76,62253,2
77,59090,2
78,22486,2
79,30530,2
80,18250,2
81,24548,2
82,21382,2
83,7695,2
84,56090,2
85,5575,2
86,43098,2
87,44708,2
88,50558,2
89,56330,2
90,24448,2
91,59958,2
92,35175,2
93,36288,2
94,62137,2
95,10831,2
96,39711,2
97,35312,2
98,60777,2
99,48598,2
100,25841,2
101,53003,2
102,35597,2
103,45245,2
104,5318,2
105,27430,2
106,43012,2
107,45541,2
108,26825,2
109,45405,2
110,7963,2
111,22204,2
112,31748,2
113,19825,2
114,16849,2
115,42572,2
116,38576,2
117,43732,2
118,30773,2
119,55227,2
120,48871,2
121,52513,2
122,20476,2
123,3464,2
124,7412,2
125,36657,2
126,17585,2
127,23286,2
128,11205,2
129,5561,2
130,22586,2
131,26531,2
132,36243,2
133,863,2
134,7907,2
135,19907,2
136,25104,2
137,58164,2
138,35620,2
139,13309,2
140,56685,2
141,31,2
142,34673,2
143,16436,2
144,23094,2
145,14076,2
146,17430,2
147,37914,2
148,60782,2
149,20249,2
150,13237,2
151,64275,2
152,20303,2
153,6190,2
154,56982,2
155,20723,2
156,48702,2
157,27570,2
158,13638,2
159,45801,2
160,20606,2
161,20356,2
162,59031,2
163,9685,2
164,14139,2
165,57537,2
166,45054,2
167,21270,2
168,22168,2
169,34851,2
170,34660,2
171,34371,2
172,21921,2
173,12764,2
174,7624,2
175,4461,2
176,27728,2
177,18633,2
178,12260,2
179,6437,2
180,23950,2
181,3899,2
182,35839,2
183,38947,2
184,39406,2
185,4876,2
186,51972,2
187,48752,2
188,8064,2
189,54796,2
190,29474,2
191,26071,2
192,32681,2
193,37670,2
194,8841,2
195,23474,2
196,53591,2
197,1197,2
198,26856,2
199,48514,2
200,39254,2
201,24781,2
202,58732,2
203,62628,2
204,51231,2
205,9874,2
206,36506,2
207,20513,2
208,42757,2
209,33850,2
210,27427,2
211,38676,2
212,45750,2
213,11195,2
