Most Frequent Servers:
rank,server,count,distinct_ips
1,185.224.128.191,6547381,3
2,185.225.74.161,1411112,3
3,2.59.254.155,400519,1
4,212.224.107.236,291399,3
5,200.59.81.5,250029,50
6,200.59.72.26,241737,42
7,205.251.155.16,216840,6
8,123.14.116.147,190695,2
9,49.236.208.231,183742,16
10,60.23.156.211,182670,2
11,5.181.80.119,167164,12
12,200.59.80.236,161112,22
13,100.82.210.85,158895,7
14,103.118.30.99,156968,13
15,111.61.187.20,155512,5
16,118.179.227.234,154713,3
17,200.59.79.88,146917,27
18,194.169.175.201,146373,10350
19,200.81.166.184,142944,52
20,112.83.227.226,135831,2
21,103.118.30.141,134010,8
22,123.14.81.103,132488,2
23,104.234.220.161,129417,3
24,182.119.57.57,117171,1
25,201.221.109.208,114979,36
26,200.59.77.238,108084,17
27,200.81.166.158,108049,54
28,93.94.156.194,105379,7
29,200.59.72.90,103125,21
30,178.95.154.21,101940,4
31,182.125.91.42,97251,3
32,100.74.28.97,95949,1
33,60.23.152.215,95139,1
34,72.180.148.249,92050,24
35,118.247.101.180,90734,9
36,100.74.11.77,90594,10
37,178.94.75.203,89502,2
38,200.69.57.16,89437,29
39,200.59.72.210,89410,14
40,223.208.54.11,87048,3
41,185.225.74.251,83841,2
42,42.86.127.58,79905,2
43,200.6.88.177,77655,29
44,123.10.176.50,76216,2
45,100.89.213.46,75945,10
46,194.180.49.165,75880,5
47,113.236.134.207,72336,1
48,42.225.193.186,71025,2
49,201.221.109.23,70575,21
50,200.69.62.155,70571,16
51,123.139.71.29,66732,3
52,222.77.230.34,64211,3
53,113.228.146.28,64006,2
54,117.194.160.2,63351,1
55,200.59.72.43,62731,7
56,200.81.162.34,62595,14
57,59.99.128.255,61818,2
58,118.79.96.155,60753,1
59,190.109.227.14,60333,3
60,218.35.65.7,60180,2
61,190.141.240.125,59822,17
62,121.169.133.54,59697,7
63,222.141.186.234,59152,3
64,193.234.119.59,58626,3
65,118.69.60.152,58534,8
66,120.211.104.203,54330,10
67,39.74.85.204,53412,2
68,117.248.57.156,52833,1
69,185.225.75.206,52681,2
70,77.45.144.196,52647,8
71,183.15.206.228,50412,1
72,219.156.23.174,49137,4
73,194.153.216.164,48277,5
74,27.206.87.128,47869,2
75,175.151.66.127,47548,2
76,219.157.217.236,47074,6
77,79.110.48.227,46752,4
78,221.0.166.32,46402,5
79,185.254.37.243,46387,2155
80,125.45.57.70,45114,1
81,125.43.100.196,44625,10
82,60.207.1.152,44606,24
83,146.19.191.108,43251,409
84,46.32.172.79,41486,1
85,39.60.73.217,41409,11
86,117.211.45.250,41181,1
87,61.41.230.161,39824,10
88,42.55.58.228,39369,3
89,5.255.114.221,39246,4
90,100.74.15.73,38418,1
91,47.87.161.30,37245,1
92,95.214.26.112,36593,4629
93,123.11.180.252,35808,1
94,188.149.128.8,35415,3
95,72.20.194.108,35367,4
96,201.221.109.182,35199,15
97,115.51.90.40,34821,1
98,201.221.109.243,33928,9
99,120.211.69.13,33924,4
100,141.98.6.31,33534,1
101,42.224.192.123,33492,1
102,42.235.66.201,33366,1
103,114.220.150.69,32944,3
104,120.211.70.2,32857,6
105,223.8.184.89,32808,2
106,190.109.227.24,31321,3
107,78.188.194.11,30567,3
108,77.53.106.33,29892,1
109,37.44.238.213,29819,402
110,190.109.227.20,29562,4
111,118.250.51.240,29262,1
112,39.77.161.225,29172,4
113,27.215.32.199,28887,1
114,115.50.211.125,28821,6
115,103.118.30.5,28799,7
116,190.109.227.104,28297,6
117,27.213.130.238,28164,2
118,117.213.42.63,28164,1
119,190.109.229.159,27955,9
120,113.110.202.67,27710,2
121,27.159.173.180,27561,2
122,180.150.89.166,27276,8
123,5.252.177.233,27235,3
124,100.74.3.247,26379,1
125,93.84.101.89,26259,2
126,195.144.21.137,26196,45
127,201.221.109.6,25776,6
128,117.213.1.173,25335,1
129,125.43.25.226,25182,1
130,176.97.210.211,24848,313
131,42.6.218.239,24756,1
132,211.237.120.13,24670,3
133,201.221.109.224,24276,7
134,117.255.177.97,24186,1
135,27.219.86.19,24120,1
136,120.211.69.79,23785,4
137,120.211.131.15,23439,2
138,219.154.36.56,23436,1
139,182.112.97.115,23016,1
140,112.248.106.176,22822,2
141,117.211.46.53,22164,1
142,190.109.228.55,22116,3
143,120.211.218.142,21535,6
144,193.31.28.13,21467,209
145,125.41.108.40,21354,2
146,222.138.118.54,21240,1
147,95.132.203.200,21183,3
148,201.221.109.125,20760,2
149,200.81.166.165,20706,24
150,190.109.228.9,20593,8
151,112.254.246.121,20497,4
152,190.109.228.195,20494,6
153,115.172.154.109,20358,2
154,42.58.212.154,20010,3
155,124.129.9.191,19923,1
156,219.157.182.104,19894,5
157,103.228.126.17,19826,30
158,42.224.195.102,19785,3
159,221.15.186.84,19749,1
160,59.174.168.52,19728,1
161,172.222.57.238,19650,3
162,60.19.7.181,19630,1
163,200.69.62.64,19564,4
164,61.53.97.203,19507,2
165,1.0.218.230,19290,2
166,190.109.227.192,18933,8
167,114.228.186.221,18709,3
168,61.53.82.9,18672,4
169,190.109.229.125,18500,2
170,120.238.189.72,18475,4
171,182.127.128.102,18360,2
172,201.221.99.113,18165,11
173,42.5.224.81,18042,1
174,117.208.137.217,18036,1
175,125.42.225.49,17922,2
176,190.109.229.175,17626,7
177,27.215.141.55,17622,2
178,42.238.168.242,17181,1
179,85.225.175.68,17062,6
180,45.190.46.53,16882,2
181,45.88.90.107,16864,2
182,110.49.63.20,16713,18
183,113.110.201.29,16638,2
184,115.61.114.102,16563,4
185,100.74.237.83,16413,10
186,5.59.107.34,16370,8
187,117.198.241.196,16368,1
188,45.128.232.79,16136,23
189,42.239.254.125,16068,3
190,103.118.31.160,15925,5
191,185.224.128.141,15836,7
192,151.42.157.215,15750,3
193,200.59.72.72,15724,11
194,182.121.132.173,15606,1
195,83.252.61.95,15486,7
196,87.227.86.80,15255,6
197,125.44.196.244,15175,2
198,100.74.76.183,15060,10
199,2.59.254.181,15043,6
200,185.132.36.178,14981,4
201,95.214.25.71,14964,88
202,45.66.230.47,14960,129
203,112.167.165.139,14826,3
204,37.44.238.208,14794,4
205,27.209.159.93,14578,3
206,27.207.166.30,14492,2
207,103.189.202.187,14473,56
208,125.43.2.97,14388,2
209,222.134.163.245,14250,6
210,201.221.109.148,14232,3
211,103.178.228.64,14010,6
212,190.109.228.138,13941,2
213,222.134.163.102,13932,1
214,115.49.210.209,13788,2
215,190.109.227.126,13669,2
216,60.25.243.120,13449,2
217,42.180.58.210,13332,1
218,220.152.242.122,13323,5
219,103.78.150.209,13230,1
220,123.14.192.28,13177,2
221,125.41.187.0,13131,4
222,88.242.10.106,13023,7
223,120.211.64.148,13004,2
224,201.221.109.75,12933,5
225,112.248.176.72,12922,3
226,77.45.187.59,12918,1
227,69.57.99.8,12843,9
228,217.209.155.137,12753,5
229,121.205.214.126,12729,6
230,201.221.109.94,12639,11
231,117.253.155.255,12369,1
232,104.234.220.27,12335,1
233,182.127.3.67,12312,1
234,180.176.244.14,12015,1
235,27.220.11.233,12000,1
236,113.116.47.135,11982,1
237,23.94.50.159,11800,1
238,115.49.217.240,11772,4
239,zyb.ac,11586,1
240,61.52.36.180,11451,1
241,123.12.197.255,11425,3
242,117.215.249.156,11415,1
243,45.131.64.121,11360,1
244,115.50.255.48,11334,2
245,5.253.246.16,11296,80
246,119.191.138.233,11268,2
247,196.65.185.20,11157,1
248,112.248.115.207,11145,1
249,78.187.83.78,11094,2
250,103.110.33.162,11094,4
251,193.233.254.50,11050,1
252,42.224.124.30,10995,1
253,222.141.120.92,10818,1
254,222.142.211.199,10641,3
255,46.200.182.53,10606,9
256,64.227.121.58,10594,83
257,77.45.223.85,10527,1
258,103.78.148.235,10510,1
259,113.230.239.126,10435,1
260,42.239.113.105,10380,1
261,111.61.213.251,10378,4
262,27.193.176.7,10203,5
263,182.123.194.234,10164,3
264,120.211.137.178,10161,4
265,120.231.205.233,10095,1
266,42.229.157.238,10068,1
267,61.52.48.86,9957,1
268,190.109.227.160,9912,3
269,182.116.12.136,9900,2
270,113.17.176.31,9807,3
271,190.109.227.216,9786,6
272,192.161.55.115,9702,6
273,182.120.14.3,9681,1
274,45.15.158.19,9560,2
275,185.143.179.92,9509,4
276,117.215.243.204,9495,1
277,193.233.193.12,9393,1721
278,117.253.109.174,9381,1
279,103.212.81.116,9368,8
280,42.58.17.192,9337,2
281,196.249.229.50,9309,1
282,82.55.136.61,9268,4
283,190.109.228.167,9262,6
284,103.179.173.198,9116,1
285,5.255.114.194,9087,2
286,125.44.11.109,9015,2
287,39.79.64.58,8886,2
288,115.57.117.130,8853,1
289,220.152.227.125,8847,3
290,42.231.92.48,8842,4
291,201.221.109.225,8733,4
292,190.109.228.17,8732,4
293,188.149.143.181,8715,3
294,193.35.18.35,8695,3
295,103.118.30.139,8676,1
296,200.69.62.129,8610,5
297,115.56.146.226,8607,1
298,111.61.182.140,8517,2
299,115.62.133.105,8322,1
300,5.129.61.62,8262,1
301,37.44.238.206,8151,1
302,111.61.213.250,8149,3
303,117.243.164.177,8124,1
304,175.10.72.144,8097,1
305,117.193.109.214,8080,2
306,119.179.238.121,8022,2
307,114.239.131.181,8012,8
308,190.109.229.241,7960,5
309,2.59.254.254,7868,2
310,182.126.81.87,7848,2
311,115.61.49.94,7834,2
312,190.109.227.8,7680,4
313,42.6.218.176,7680,1
314,cdn.discordapp.com,7633,1
315,27.219.96.152,7621,3
316,119.179.251.161,7581,2
317,42.235.49.140,7518,2
318,59.99.139.189,7482,1
319,45.235.48.131,7480,6
320,103.84.241.50,7431,2
321,222.140.232.17,7410,1
322,181.215.31.82,7340,2
323,200.59.79.145,7272,15
324,109.98.208.52,7244,120
325,219.157.29.208,7203,1
326,113.230.100.212,7182,2
327,119.166.40.42,7140,3
328,61.53.94.249,7101,1
329,58.212.137.213,7020,7
330,125.106.31.124,6998,3
331,117.219.114.203,6921,1
332,61.53.1.217,6774,2
333,200.59.72.85,6691,14
334,115.55.250.141,6691,2
335,42.197.167.242,6649,2
336,223.13.68.199,6603,12
337,120.211.183.3,6540,10
338,219.156.175.202,6537,2
339,83.255.50.96,6525,3
340,182.121.95.11,6453,1
341,223.74.158.19,6336,1
342,115.59.76.104,6321,2
343,107.173.231.76,6320,133
344,117.194.170.247,6309,1
345,45.90.161.122,6300,7
346,27.215.180.199,6298,2
347,123.11.1.26,6285,2
348,42.227.164.44,6249,1
349,117.253.150.145,6237,1
350,42.180.35.134,6222,2
351,182.121.117.113,6222,1
352,100.74.69.32,6204,1
353,117.241.186.85,6165,1
354,42.6.187.115,6093,1
355,115.55.249.50,6048,1
