Most Frequent URLs (Non-Port 23):
rank,url,count,distinct_ips
1,http://49.236.208.231/wget.sh,122408,14,Ports:5555
2,http://103.118.30.99/wget.sh,104588,13,Ports:5555
3,http://103.118.30.141/wget.sh,89340,8,Ports:5555
4,http://49.236.208.231/w.sh,30602,14,Ports:5555
5,http://49.236.208.231/c.sh,30602,14,Ports:5555
6,http://146.19.191.108/wget.sh,28168,9,Ports:5555
7,http://103.118.30.99/w.sh,26147,13,Ports:5555
8,http://103.118.30.99/c.sh,26147,13,Ports:5555
9,http://103.118.30.141/w.sh,22335,8,Ports:5555
10,http://103.118.30.141/c.sh,22335,8,Ports:5555
11,http://103.118.30.5/wget.sh,17076,7,Ports:5555
12,http://176.97.210.211/wget.sh,16132,14,Ports:5555
13,http://193.31.28.13/wget.sh,13916,2,Ports:5555
14,http://103.118.31.160/wget.sh,12740,5,Ports:5555
15,http://zyb.ac/s,11586,1,Ports:9001, 9000, 9999, 9090
16,http://141.98.6.31/abc1.sh,11178,1,Ports:5555
17,http://141.98.6.31/abc2.sh,11178,1,Ports:5555
18,http://141.98.6.31/abc3.sh,11178,1,Ports:5555
19,http://103.178.228.64/wget.sh,9340,6,Ports:5555
20,http://103.118.30.5/w.sh,7454,7,Ports:5555
21,http://103.110.33.162/wget.sh,7396,4,Ports:5555
22,http://146.19.191.108/w.sh,7042,9,Ports:5555
23,http://146.19.191.108/c.sh,7042,9,Ports:5555
24,http://103.228.126.17/abc1.sh,6558,11,Ports:5555
25,http://103.228.126.17/abc2.sh,6558,11,Ports:5555
26,http://103.228.126.17/abc3.sh,6558,11,Ports:5555
27,http://103.118.30.139/wget.sh,5784,1,Ports:5555
28,http://103.189.202.187/abc1.sh,4803,15,Ports:5555
29,http://103.189.202.187/abc2.sh,4803,15,Ports:5555
30,http://103.189.202.187/abc3.sh,4803,15,Ports:5555
31,http://20.239.92.233/jyxdk,4485,4,Ports:21459, 57148, 2549, 24954, 8747, 35620, 37209, 56982, 12169, 23253, 50606, 35180, 20356, 51263, 15868, 51972, 61506, 10409, 12196, 13158, 43732, 64127, 39883, 59090, 27570, 44012, 38028, 7412, 1546, 43828, 248, 33033, 21295, 63157, 13120, 44610, 3622, 25818, 22227, 27430, 2068, 36985, 12652, 16436, 8492, 9515, 27261, 29330, 30833, 30156, 4233, 8757, 50047, 10036, 33397, 14076, 43725, 7695, 1914, 30837, 38155, 31322, 14863, 14837, 54188, 13438, 38137, 8259, 7838, 25345, 60126, 19329, 51643, 5403, 35312, 63314, 20513, 16544, 24872, 19235, 39735, 12089, 38263, 53475, 20162, 21550, 54444, 47965, 24548, 14169, 4876, 48871, 42521, 37677, 863, 20392, 24787, 64659, 61881, 46751, 53758, 48188, 21345, 23286, 53462, 64855, 44457, 49546, 25351, 11195, 26132, 23712, 43467, 32072, 62972, 46818, 47481, 17615, 31467, 46203, 30763, 60778, 5118, 51331, 63348, 6918, 15601, 8217, 37646, 8406, 2327, 19490, 45579, 10704, 35839, 61279, 23137, 10639, 30950, 13237, 30917, 50298, 8841, 14699, 35052, 59854, 62651, 33761, 20723, 7963, 39406, 1469, 61288, 23474, 8469, 39855, 45541, 40663, 44996, 38609, 22221, 9481, 29545, 63249, 20891, 62253, 20314, 20840, 54776, 1961, 14392, 24583, 22738, 23214, 11142, 13471, 8346, 27456, 3844, 50471, 56330, 8054, 60777, 55305, 20089, 57374, 36663, 22307, 34472, 62347, 25685, 24106, 10942, 33264, 30530, 15673, 59936, 56763, 26310, 52131, 3923, 17430, 14806, 51660, 24990, 2750, 57959, 8082, 44551, 15449, 37958, 19003, 25118, 12099, 62628, 54197, 35550, 15019, 29861, 43772, 15913, 20423, 48905, 36877, 31131, 17744, 34851, 16685, 52749, 5798, 48752, 15881, 17495, 38676, 10831, 56685, 64875, 2707, 50711, 40789, 24262, 6190, 1802, 44824, 36288, 58528, 31023, 2059, 15433, 44708, 60310, 28364, 36143, 20408, 34350, 41494, 28455, 24762, 38754, 847, 6385, 62809, 27728, 60782, 896, 43709, 43914, 57922, 23621, 18213, 28868, 16376, 42526, 16457, 59351, 35175, 22937, 37986, 10075, 8064, 54673, 35840, 17287, 7267, 44313, 5135, 50612, 28125, 37924, 31245, 48598, 59958, 58095, 54783, 46947, 22168, 5318, 20649, 3267, 25633, 50268, 48865, 6897, 45054, 40150, 63366, 2613, 56678, 38506, 36966, 65145, 51954, 32636, 31855, 21998, 51231, 15578, 21090, 6671, 50558, 53250, 37229, 54981, 3607, 59031, 25452, 27427, 31748, 34415, 20560, 11126, 15298, 26154, 12567, 64783, 60234, 57537, 62744, 61448, 58635, 65443, 57889, 13309, 12892, 12, 57100, 57013, 40072, 24804, 6176, 62591, 48702, 32425, 36545, 12629, 20476, 62504, 8669, 7907, 20795, 44010, 5561, 35784, 56169, 37738, 0, 14139, 20280, 35597, 16849, 36506, 52513, 33428, 20606, 36008, 61672, 9685, 18107, 53318, 9874, 27761, 53437, 59435, 57932, 32630, 3464, 50810, 54302, 10514, 12260, 24235, 20788, 8835, 45532, 34079, 21631, 50657, 59862, 55499, 24293, 34673, 56784, 44213, 26346, 46075, 13129, 7624, 31902, 13862, 42757, 13638, 7775, 6205, 55764, 38438, 25559, 61341, 33054, 8613, 18454, 49401, 31539, 1809, 37218, 65302, 39727, 34770, 17811, 45405, 41892, 22277, 32678, 18971, 35341, 28569, 3495, 46318, 32204, 23823, 47437, 9436, 37073, 21270, 26296, 56001, 1093, 42575, 22204, 9085, 46684, 21382, 9458, 54300, 48087, 53636, 53256, 53525, 58, 46413, 9331, 1197, 55038, 19504, 33399, 46153, 37861, 42060, 31185, 9528, 52720, 47351, 20022, 7591, 44790, 29685, 4461, 28785, 53003, 59432, 4670, 9138, 46572, 15692, 60817, 10251, 15206, 48326, 59286, 35570, 29766, 60405, 59960, 18633, 3899, 414, 19825, 8203, 61828, 11935, 19358, 24059, 19907, 18678, 44817, 29474, 52815, 51897, 391, 57524, 18400, 47368, 52655, 7962, 58461, 43216, 55359, 39254, 12764, 42733, 5580, 44429, 30773, 4755, 62871, 19113, 43969, 17463, 8616, 38341, 58382, 23663, 10536, 30328, 38576, 57425, 26531, 24864, 56317, 27035, 29544, 22586, 65425, 17344, 44074, 31, 18739, 29180, 11476, 31735, 43098, 26825, 40542, 2580, 4053, 23487, 40658, 6483, 36243, 29361, 51182, 39711, 30113, 19647, 54796, 14545, 39169, 22486, 23950, 21507, 40672, 16445, 18404, 34660, 23094, 44718, 1425, 2476, 55769, 20117, 16698, 40712, 24528, 15269, 15712, 28487, 22626, 40544, 6840, 62991, 60580, 49039, 2006, 55899, 44171, 18591, 47828, 21921, 52949, 1095, 23563, 49423, 8153, 40448, 17585, 60698, 44857, 28601, 49014, 47251, 34380, 56687, 20779, 9568, 51553, 49271, 63338, 6261, 13464, 21053, 8207, 50772, 46645, 47931, 51243, 57008, 20249, 60758, 5808, 61325, 58164, 62137, 35362, 37219, 9226, 59088, 25726, 26582, 48514, 6004, 2157, 64706, 64707, 64275, 34371, 8053, 59047, 46548, 56691, 24066, 45801, 26297, 25841, 14943, 49169, 37914, 16649, 56900, 24781, 11205, 43012, 57287, 14489, 28787, 41259, 14639, 47304, 54747, 23685, 26876, 19635, 23963, 36657, 34141, 56779, 2790, 53472, 34095, 54784, 25089, 45385, 57707, 34653, 5520, 51408, 17210, 40621, 40969, 49067, 46281, 58030, 16683, 20413, 64725, 17599, 63289, 38733, 51813, 57578, 18250, 44750, 16580, 25860, 6437, 23182, 7284, 44378, 15842, 13271, 24590, 14257, 6400, 21927, 3125, 31696, 46609, 5575, 5094, 1302, 42572, 51775, 45797, 2949, 23987, 24520, 32772, 24448, 52219, 1445, 30167, 4978, 39999, 28815, 39339, 43067, 44240, 6553, 12912, 53591, 3222, 56066, 60441, 48861, 33586, 25943, 41032, 35143, 48938, 45750, 26856, 42741, 20907, 44757, 54553, 20303, 18705, 17696, 30603, 14119, 45694, 56480, 6829, 50526, 55374, 6008, 37093, 39896, 28747, 17876, 45715, 22331, 25620, 37670, 48270, 34595, 29250, 11590, 18429, 41656, 49032, 42786, 23898, 35938, 40350, 23831, 57136, 18022, 8648, 55227, 10523, 6146, 63420, 27229, 24193, 54278, 63015, 17732, 9752, 58732, 63953, 45245, 17389, 33850, 12404, 32681, 32042, 58723, 46169, 48477, 60670, 62642, 32573, 12728, 38947, 35391, 26071, 37055, 57656, 57929, 4292, 23086, 56090, 33789, 40837, 28237, 51473, 19853, 26383, 32947, 4260, 25104
32,http://2.59.254.155/abc1.sh,4443,1,Ports:5555
33,http://2.59.254.155/abc2.sh,4443,1,Ports:5555
34,http://2.59.254.155/abc3.sh,4443,1,Ports:5555
35,http://103.118.30.5/c.sh,4269,7,Ports:5555
36,http://109.206.243.207/d,4055,102,Ports:56575
37,http://176.97.210.211/w.sh,4033,14,Ports:5555
38,176.97.210.211/c.sh,4033,14,Ports:5555
39,http://91.234.99.110/mips,3560,39,Ports:52869
40,http://193.31.28.13/w.sh,3479,2,Ports:5555
41,http://193.31.28.13/c.sh,3479,2,Ports:5555
42,http://194.180.49.165/arm7.nn,3299,2,Ports:5555
43,http://194.180.49.165/arm.nn,3267,1,Ports:5555
44,http://194.180.49.165/arm5.nn,3267,1,Ports:5555
45,http://194.180.49.165/arm6.nn,3267,1,Ports:5555
46,http://2.59.254.181/wget,3220,3,Ports:5555
47,http://2.59.254.181/curl,3219,2,Ports:5555
48,http://193.47.61.47/Yboats.mips,3193,62,Ports:8081, 7547
49,http://103.118.31.160/c.sh,3185,5,Ports:5555
50,http://172.111.1.111/sh.sh,2962,1,Ports:80, 5500, 60001
51,http://2.59.254.181/nlnk/wget,2877,1,Ports:5555
52,http://2.59.254.181/nlnk/curl,2877,1,Ports:5555
53,http://106.246.224.219/big,2608,63,Ports:80
54,http://194.180.48.100/l.sh,2608,50,Ports:9600, 80, 8080, 5555
55,http://171.228.207.173/wget.sh,2492,3,Ports:5555
56,http://103.178.228.64/w.sh,2335,6,Ports:5555
57,http://103.178.228.64/c.sh,2335,6,Ports:5555
58,http://95.214.24.125/dpd.mips,2272,89,Ports:8081, 7547
59,http://95.214.27.202/d,2167,181,Ports:56575
60,http://81.161.229.185/dpd.mips,2125,100,Ports:8081, 7547
61,http://103.110.33.162/w.sh,1849,4,Ports:5555
62,http://103.110.33.162/c.sh,1849,4,Ports:5555
63,http://103.110.33.164/mips,1757,161,Ports:443
64,http://103.110.33.164/mpsl,1611,159,Ports:8080
65,http://5.181.80.102/armv7l,1567,17,Ports:5555
66,http://5.181.80.102/bins.sh,1567,17,Ports:5555
67,http://171.228.207.35/wget.sh,1532,5,Ports:55555, 5555
68,http://103.118.30.139/w.sh,1446,1,Ports:5555
69,http://103.118.30.139/c.sh,1446,1,Ports:5555
70,http://45.128.232.83/z.sh,1356,1,Ports:5500, 5501
71,94.158.247.123/jaws,1155,60,Ports:80
72,http://37.44.238.213/nekoY/Neko.mips,1119,104,Ports:8081, 80, 7547, 8080
73,http://5.181.80.102/omega,1089,2,Ports:8080
74,http://81.161.229.185/Kilo.mips,1028,47,Ports:8081, 7547
75,http://103.116.105.27/wget.sh,980,4,Ports:5555
76,92.204.243.155:8080/roket,900,66,Ports:10911
77,http://37.44.238.203/nekoY/Neko.mips,889,177,Ports:8081, 7547
78,http://download.asyncfox.xyz/download/dupa2.sh,884,35,Ports:80
79,45.15.158.124/tf.sh,872,3,Ports:80
80,http://135.148.104.21/bins/mips,780,3,Ports:7547
81,http://46.29.166.61/sh,748,13,Ports:80
82,http://45.90.161.122/bins/x86,716,1,Ports:9876, 10911
83,212.8.251.176/jaws,699,54,Ports:80
84,http://194.180.48.48/abc1.sh,693,1,Ports:5555
85,http://194.180.48.48/abc2.sh,693,1,Ports:5555
86,http://194.180.48.48/abc3.sh,693,1,Ports:5555
87,194.87.252.159/tf.sh,650,2,Ports:80
88,http://193.47.61.47/adb,631,121,Ports:5555
89,194.38.21.25/tf.sh,629,2,Ports:80
90,http://2.58.113.190/x86.tsunami,628,1,Ports:8021
91,http://171.228.207.173/w.sh,624,3,Ports:5555
92,http://171.228.207.173/c.sh,624,3,Ports:5555
93,79.110.48.91/0xst2.arm7,612,1,Ports:5505, 5500, 60001
94,79.110.48.91/0xst2.arm,612,1,Ports:5505, 5500, 60001
95,79.110.48.91/0xst2.mpsl,612,1,Ports:5505, 5500, 60001
96,http://194.180.49.233/abc1.sh,597,1,Ports:5555
97,http://194.180.49.233/abc2.sh,597,1,Ports:5555
98,http://194.180.49.233/abc3.sh,597,1,Ports:5555
99,http://185.254.37.243/skid.x86,590,1,Ports:80, 8088
100,http://171.22.136.19/b,516,1,Ports:56575
101,http://50.115.165.101/bins/Astra.arm7,503,20,Ports:5501
102,http://146.19.191.108/mips,500,244,Ports:443
103,http://146.19.191.108/mpsl,499,267,Ports:8080
104,81.161.229.185/jaws,480,98,Ports:80
105,37.139.129.4/H18/arm7,470,4,Ports:5501, 80, 5500, 60001
106,37.139.129.4/H18/arm,470,4,Ports:5501, 80, 5500, 60001
107,http://79.110.62.158/abc1.sh,462,1,Ports:5555
